IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
140.238.19.2,443,false,NRT,Asia Pacific,Tokyo,69 ms,15055 kB/s
193.123.233.143,2083,false,NRT,Asia Pacific,Tokyo,71 ms,5341 kB/s
146.56.162.25,80,false,ICN,Asia Pacific,Seoul,80 ms,5202 kB/s
140.238.29.117,443,false,NRT,Asia Pacific,Tokyo,71 ms,3908 kB/s
146.56.133.140,2083,false,NRT,Asia Pacific,Tokyo,76 ms,3532 kB/s
138.2.18.184,80,false,NRT,Asia Pacific,Tokyo,147 ms,2267 kB/s
146.56.133.140,2096,false,NRT,Asia Pacific,Tokyo,73 ms,1911 kB/s
193.123.233.143,2096,false,NRT,Asia Pacific,Tokyo,64 ms,1711 kB/s
130.162.61.18,80,false,FRA,Europe,Frankfurt,265 ms,1122 kB/s
138.3.253.140,8080,false,FRA,Europe,Frankfurt,261 ms,529 kB/s
34.160.118.77,80,false,LAX,North America,Los Angeles,205 ms,514 kB/s
152.67.222.250,80,false,ICN,Asia Pacific,Seoul,156 ms,389 kB/s
34.93.226.165,80,false,BOM,Asia Pacific,Mumbai,350 ms,96 kB/s
158.179.164.17,2052,false,ICN,Asia Pacific,Seoul,158 ms,83 kB/s
150.230.62.27,443,false,KIX,Asia Pacific,Osaka,235 ms,46 kB/s
168.138.47.238,8443,false,KIX,Asia Pacific,Osaka,239 ms,0 kB/s
141.147.147.28,80,false,KIX,Asia Pacific,Osaka,228 ms,0 kB/s
